y2,x2
0,0
0,0
0,0
0,10.6949344363867
0,10.1966637597452
0,13.1241673100266
1,21.4631938229444
0,14.2450480826534
0,17.0446713144063
0,26.060631827832
0,39.5134467499753
0,33.3668449606492
1,42.0830630215491
0,40.4825768922619
0,35.0866155683442
1,68.6490964863671
1,54.8951357158206
0,30.5871469476984
1,68.3877240634155
1,54.2836326499735
0,48.5547178121723
1,66.7225802091246
1,57.1524083281282
1,58.2467699856938
1,70.583985464048
1,53.136761271966
1,93.6205342806564
1,93.1403556038172
1,69.0112116806756
1,112.235461195589
1,107.510709046429
1,93.026779113679
1,118.206041862305
